week_label,week_end_date,close_price
2015-W17,2015-04-24,231.28000000
2015-W18,2015-05-01,234.70000000
2015-W19,2015-05-08,244.73000000
2015-W20,2015-05-15,237.42000000
2015-W21,2015-05-22,240.77000000
2015-W22,2015-05-29,237.20000000
2015-W23,2015-06-05,225.79000000
2015-W24,2015-06-12,230.82000000
2015-W25,2015-06-19,244.43000000
2015-W26,2015-06-26,241.21000000
2015-W27,2015-07-03,254.67000000
2015-W28,2015-07-10,293.14000000
2015-W29,2015-07-17,278.27000000
2015-W30,2015-07-24,288.88000000
2015-W31,2015-07-31,285.19000000
2015-W32,2015-08-07,279.02000000
2015-W33,2015-08-14,266.45000000
2015-W34,2015-08-21,232.35000000
2015-W35,2015-08-28,232.78000000
2015-W36,2015-09-04,230.40000000
2015-W37,2015-09-11,239.63000000
2015-W38,2015-09-18,233.13000000
2015-W39,2015-09-25,235.26000000
2015-W40,2015-10-02,237.26000000
2015-W41,2015-10-09,244.02000000
2015-W42,2015-10-16,265.32000000
2015-W43,2015-10-23,277.29000000
2015-W44,2015-10-30,319.82600000
2015-W45,2015-11-06,372.63000000
2015-W46,2015-11-13,331.97000000
2015-W47,2015-11-20,319.30000000
2015-W48,2015-11-27,358.73000000
2015-W49,2015-12-04,362.04000000
2015-W50,2015-12-11,451.56900000
2015-W51,2015-12-18,463.86500000
2015-W52,2015-12-24,454.38000000
2015-W53,2015-12-31,430.49600000
2016-W01,2016-01-08,452.81700000
2016-W02,2016-01-15,389.87900000
2016-W03,2016-01-22,379.86700000
2016-W04,2016-01-29,375.23500000
2016-W05,2016-02-05,386.35400000
2016-W06,2016-02-12,382.04400000
2016-W07,2016-02-19,419.14700000
2016-W08,2016-02-26,423.54900000
2016-W09,2016-03-04,412.88200000
2016-W10,2016-03-11,418.84800000
2016-W11,2016-03-18,405.49900000
2016-W12,2016-03-24,414.88600000
2016-W13,2016-04-01,416.12900000
2016-W14,2016-04-08,418.37500000
2016-W15,2016-04-15,429.60900000
2016-W16,2016-04-22,449.39800000
2016-W17,2016-04-29,455.72600000
2016-W18,2016-05-06,456.57900000
2016-W19,2016-05-13,455.60200000
2016-W20,2016-05-20,441.91100000
2016-W21,2016-05-27,473.14900000
2016-W22,2016-06-03,570.93900000
2016-W23,2016-06-10,578.77100000
2016-W24,2016-06-17,757.00200000
2016-W25,2016-06-24,661.28800000
2016-W26,2016-07-01,677.04800000
2016-W27,2016-07-08,654.57900000
2016-W28,2016-07-15,664.09900000
2016-W29,2016-07-22,656.42600000
2016-W30,2016-07-29,657.33300000
2016-W31,2016-08-05,574.44900000
2016-W32,2016-08-12,585.61700000
2016-W33,2016-08-19,574.61400000
2016-W34,2016-08-26,578.13500000
2016-W35,2016-09-02,573.32900000
2016-W36,2016-09-09,620.23200000
2016-W37,2016-09-16,606.79600000
2016-W38,2016-09-23,600.74500000
2016-W39,2016-09-30,605.62000000
2016-W40,2016-10-07,615.57400000
2016-W41,2016-10-14,638.16200000
2016-W42,2016-10-21,630.27900000
2016-W43,2016-10-28,686.57700000
2016-W44,2016-11-04,697.20400000
2016-W45,2016-11-11,714.69400000
2016-W46,2016-11-18,744.04800000
2016-W47,2016-11-25,735.94300000
2016-W48,2016-12-02,768.99400000
2016-W49,2016-12-09,769.58600000
2016-W50,2016-12-16,779.78800000
2016-W51,2016-12-23,895.89700000
2016-W52,2016-12-30,960.52300000
2017-W01,2017-01-06,886.83900000
2017-W02,2017-01-13,820.14300000
2017-W03,2017-01-20,895.73600000
2017-W04,2017-01-27,919.37100000
2017-W05,2017-02-03,1013.07000000
2017-W06,2017-02-10,989.02200000
2017-W07,2017-02-17,1056.97000000
2017-W08,2017-02-24,1165.37000000
2017-W09,2017-03-03,1280.08000000
2017-W10,2017-03-10,1284.52000000
2017-W11,2017-03-17,1110.62000000
2017-W12,2017-03-24,961.81600000
2017-W13,2017-03-31,1076.89000000
2017-W14,2017-04-07,1198.90000000
2017-W15,2017-04-14,1185.96000000
2017-W16,2017-04-21,1250.78000000
2017-W17,2017-04-28,1295.00000000
2017-W18,2017-05-05,1503.99000000
2017-W19,2017-05-12,1665.28000000
2017-W20,2017-05-19,1931.62000000
2017-W21,2017-05-26,2272.73000000
2017-W22,2017-06-02,2440.81000000
2017-W23,2017-06-09,2852.25000000
2017-W24,2017-06-16,2554.93000000
2017-W25,2017-06-23,2766.25000000
2017-W26,2017-06-30,2545.82000000
2017-W27,2017-07-07,2545.82000000
2017-W28,2017-07-14,2220.74000000
2017-W29,2017-07-21,2649.71000000
2017-W30,2017-07-28,2772.39000000
2017-W31,2017-08-04,2854.70000000
2017-W32,2017-08-11,3571.43000000
2017-W33,2017-08-18,4173.62000000
2017-W34,2017-08-25,4378.28000000
2017-W35,2017-09-01,4892.37000000
2017-W36,2017-09-08,4214.08000000
2017-W37,2017-09-15,3637.69000000
2017-W38,2017-09-22,3585.51000000
2017-W39,2017-09-29,4166.67000000
2017-W40,2017-10-06,4344.05000000
2017-W41,2017-10-13,5509.64000000
2017-W42,2017-10-20,6049.61000000
2017-W43,2017-10-27,5740.53000000
2017-W44,2017-11-03,7235.89000000
2017-W45,2017-11-10,6439.15000000
2017-W46,2017-11-17,7698.23000000
2017-W47,2017-11-24,8237.23000000
2017-W48,2017-12-01,10787.00000000
2017-W49,2017-12-08,15198.00000000
2017-W50,2017-12-15,17699.00000000
2017-W51,2017-12-22,14347.00000000
2017-W52,2017-12-29,14368.00000000
2018-W01,2018-01-05,16556.00000000
2018-W02,2018-01-12,13908.00000000
2018-W03,2018-01-19,11390.00000000
2018-W04,2018-01-26,10965.00000000
2018-W05,2018-02-02,8576.33000000
2018-W06,2018-02-09,8561.64000000
2018-W07,2018-02-16,10010.00000000
2018-W08,2018-02-23,9980.04000000
2018-W09,2018-03-02,11050.00000000
2018-W10,2018-03-09,8992.81000000
2018-W11,2018-03-16,8525.15000000
2018-W12,2018-03-23,8620.69000000
2018-W13,2018-03-30,6816.63000000
2018-W14,2018-04-06,6622.52000000
2018-W15,2018-04-13,8097.17000000
2018-W16,2018-04-20,8517.89000000
2018-W17,2018-04-27,9090.91000000
2018-W18,2018-05-04,9652.51000000
2018-W19,2018-05-11,8605.85000000
2018-W20,2018-05-18,8230.45000000
2018-W21,2018-05-25,7423.90000000
2018-W22,2018-06-01,7434.94000000
2018-W23,2018-06-08,7639.42000000
2018-W24,2018-06-15,6548.79000000
2018-W25,2018-06-22,6195.79000000
2018-W26,2018-06-29,5882.35000000
2018-W27,2018-07-06,6570.30000000
2018-W28,2018-07-13,6176.65000000
2018-W29,2018-07-20,7342.14000000
2018-W30,2018-07-27,8223.68000000
2018-W31,2018-08-03,7374.63000000
2018-W32,2018-08-10,6397.95000000
2018-W33,2018-08-17,6497.73000000
2018-W34,2018-08-24,6622.52000000
2018-W35,2018-08-31,7042.25000000
2018-W36,2018-09-07,6418.49000000
2018-W37,2018-09-14,6535.95000000
2018-W38,2018-09-21,6752.19000000
2018-W39,2018-09-28,6675.57000000
2018-W40,2018-10-05,6553.08000000
2018-W41,2018-10-12,6238.30000000
2018-W42,2018-10-19,6426.74000000
2018-W43,2018-10-26,6435.01000000
2018-W44,2018-11-02,6369.43000000
2018-W45,2018-11-09,6361.32000000
